OBJECTID,URN,SCHOOL_NAM,TYPE,PHASE,ADDRESS,TOWN,POSTCODE,STATUS,GENDER,EASTING,NORTHING,WARD_NAME,LSOA_NAME,LA_NAME,WEBLINK,AGE,map_icon,NEW_URN,OLD_URN,map_icon_l,Primary,x,y
713,134243,Suffah Primary School,Other Independent School,Not applicable,Hounslow Jamia Masjid,Hounslow,TW4 5HU,Open,Mixed,512990,174597,Hounslow Heath,Hounslow 021D,Hounslow, ,11-Mar, , , ,2,1,-0.375059,51.4590988
714,134244,Al-Noor Primary School,Other Independent School,Not applicable,619 - 625 Green Lane,Ilford,IG3 9RP,Open,Mixed,546788,187049,Goodmayes,Redbridge 034G,Redbridge,www.al-noor.co.uk,11-Apr, , , ,2,1,0.116284,51.5632019
715,134388,Hopewell School (Harmony House),Other Independent Special School,Not applicable, ,Dagenham,RM9 6XN,Open,Mixed,548301,183741,Goresbrook,Barking and Dagenham 018C,Barking and Dagenham, ,19-May, , , ,2,1,0.136702,51.5331001
716,134388,Hopewell School (Harmony House),Other Independent Special School,Not applicable, ,Dagenham,RM9 6XN,Open,Mixed,548301,183741,Goresbrook,Barking and Dagenham 018C,Barking and Dagenham, ,19-May, , , ,2,0,0.136702,51.5331001
717,134400,Olive Tree School,Other Independent School,Not applicable,363-365 Lewisham High Street,London,SE13 6NZ,Open,Mixed,537949,174408,Lewisham Central,Lewisham 012D,Lewisham,www.otsprimary.co.uk,11-Mar, , , ,2,1,-0.0160904,51.4519005
718,134402,Right Choice Independent Special School,Other Independent School,Not applicable,First Floor,London,SE18 6BB,Open,Mixed,543717,178958,Woolwich Riverside,Greenwich 004E,Greenwich, ,18-Dec, , , ,2,0,0.0687124,51.4912987
719,134417,Azhar Academy Girls School,Other Independent School,Not applicable,235a Romford Road,London,E7 9HL,Open,Mixed,540196,184939,Forest Gate South,Newham 009A,Newham, ,16-Mar, , , ,2,1,0.0204069,51.5458984
720,134417,Azhar Academy Girls School,Other Independent School,Not applicable,235a Romford Road,London,E7 9HL,Open,Mixed,540196,184939,Forest Gate South,Newham 009A,Newham, ,16-Mar, , , ,2,0,0.0204069,51.5458984
721,134573,The From Boyhood To Manhood Foundation,Other Independent School,Not applicable,1 Newent Close,London,SE15 6EF,Open,Mixed,533243,177445,Brunswick Park,Southwark 020B,Southwark, ,21-Nov, , , ,2,0,-0.0826323,51.4803009
722,134577,Imam Zakariya Academy,Other Independent School,Not applicable,447-451 Romford Road,London,E7 8AB,Open,Mixed,541111,185137,Forest Gate South,Newham 007B,Newham,www.iza.org.uk,11-May, , , ,2,1,0.0336728,51.5475006
723,134579,Walthamstow Montessori School,Other Independent School,Not applicable,Penryhn Hall,London,E17 5DA,Open,Mixed,537060,190596,Chapel End,Waltham Forest 011B,Waltham Forest,www.walthamstowmontessori.com,11-Mar, , , ,2,1,-0.0225844,51.5974998
724,134580,Phoenix Academy,Other Independent School,Not applicable,85 Bounces Road,London,N9 8LD,Open,Mixed,534968,193979,Lower Edmonton,Enfield 023D,Enfield, ,18-May, , , ,2,1,-0.0514675,51.6285019
725,134580,Phoenix Academy,Other Independent School,Not applicable,85 Bounces Road,London,N9 8LD,Open,Mixed,534968,193979,Lower Edmonton,Enfield 023D,Enfield, ,18-May, , , ,2,0,-0.0514675,51.6285019
726,134585,Al-Khair School,Other Independent School,Not applicable,109-117 Cherry Orchard Road,Croydon,CR0 6BE,Open,Mixed,533084,166209,Addiscombe,Croydon 022B,Croydon, ,16-Apr, , , ,2,1,-0.089138,51.3792992
727,134585,Al-Khair School,Other Independent School,Not applicable,109-117 Cherry Orchard Road,Croydon,CR0 6BE,Open,Mixed,533084,166209,Addiscombe,Croydon 022B,Croydon, ,16-Apr, , , ,2,0,-0.089138,51.3792992
728,134591,Jamiah Madaniyah Primary School,Other Independent School,Not applicable,80-82 Stafford Road,London,E7 8NN,Open,Mixed,541589,184528,Green Street East,Newham 011C,Newham, ,11-May, , , ,2,1,0.0403169,51.5419006
729,134594,Eagle House School,Other Independent Special School,Not applicable,224 London Road,Mitcham,CR4 3HD,Open,Mixed,527783,169243,Figge's Marsh,Merton 018D,Merton,www.eaglehouseschool.co.uk,12-Apr, , , ,2,1,-0.164173,51.4077988
730,134594,Eagle House School,Other Independent Special School,Not applicable,224 London Road,Mitcham,CR4 3HD,Open,Mixed,527783,169243,Figge's Marsh,Merton 018D,Merton,www.eaglehouseschool.co.uk,12-Apr, , , ,2,0,-0.164173,51.4077988
731,134627,Quwwat Ul Islam Girls' School,Other Independent School,Not applicable,16 Chaucer Road,London,E7 9NB,Open,Girls,540521,184793,Forest Gate South,Newham 008B,Newham, ,16-Apr, , , ,2,1,0.0250324,51.5446014
732,134627,Quwwat Ul Islam Girls' School,Other Independent School,Not applicable,16 Chaucer Road,London,E7 9NB,Open,Girls,540521,184793,Forest Gate South,Newham 008B,Newham, ,16-Apr, , , ,2,0,0.0250324,51.5446014
733,134664,Notting Hill Preparatory School,Other Independent School,Not applicable,95 Lancaster Road,London,W11 1QQ,Open,Mixed,524376,181269,Colville,Kensington and Chelsea 004C,Kensington and Chelsea, ,13-Apr, , , ,2,1,-0.208906,51.5167007
734,134664,Notting Hill Preparatory School,Other Independent School,Not applicable,95 Lancaster Road,London,W11 1QQ,Open,Mixed,524376,181269,Colville,Kensington and Chelsea 004C,Kensington and Chelsea, ,13-Apr, , , ,2,0,-0.208906,51.5167007
735,134668,Heathfield House School,Other Independent School,Not applicable,Turnham Green Church Hall,London,W4 4JU,Open,Mixed,520332,178281,Turnham Green,Hounslow 029E,Hounslow, ,11-Apr, , , ,2,1,-0.268177,51.4906998
736,134735,Chelsea Independent College,Other Independent School,Not applicable,517 - 523 Fulham Road,London,SW6 1HD,Open,Mixed,525591,177234,Parsons Green and Walham,Hammersmith and Fulham 020A,Hammersmith and Fulham, ,14 - 21, , , ,2,0,-0.19284,51.4800987
737,134782,The Gower School,Other Independent School,Not applicable,10 Cynthia Street,London,N1 9JF,Open,Mixed,530947,183144,Barnsbury,Islington 019B,Islington,http://www.thegowerschool.co.uk,0 - 11, , , ,2,1,-0.113563,51.5320015
738,134800,Avenue Nursery and Pre-Preparatory School,Other Independent School,Not applicable,2 Highgate Avenue,London,N6 5RX,Open,Mixed,528654,187982,Highgate,Haringey 035C,Haringey, ,8-Feb, , , ,2,1,-0.144834,51.5760002
739,134808,Oliver House Preparatory School,Other Independent School,Not applicable,7 Nightingale Lane,London,SW4 9AH,Open,Mixed,528558,174235,Balham,Wandsworth 021C,Wandsworth, ,11-Mar, , , ,2,1,-0.151227,51.4524994
740,134810,London East Academy,Other Independent School,Not applicable,46 Whitechapel Road,London,E1 1JX,Open,Boys,534293,181595,Whitechapel,Tower Hamlets 021D,Tower Hamlets, ,18-Nov, , , ,2,0,-0.0659429,51.5172997
741,134812,Ecole Du Parc,Other Independent School,Not applicable,64 Garfield Road,London,SW11 5PN,Open,Mixed,528463,175646,Shaftesbury,Wandsworth 005C,Wandsworth, ,6-Jan, , , ,2,1,-0.152081,51.4651985
742,134822,Wetherby Preparatory School,Other Independent School,Not applicable,48 Bryanston Square,London,W1H 2EA,Open,Boys,525229,180931,Pembridge,Kensington and Chelsea 006E,Kensington and Chelsea, ,13-Jul, , , ,2,1,-0.196739,51.513401
743,134822,Wetherby Preparatory School,Other Independent School,Not applicable,48 Bryanston Square,London,W1H 2EA,Open,Boys,525229,180931,Pembridge,Kensington and Chelsea 006E,Kensington and Chelsea, ,13-Jul, , , ,2,0,-0.196739,51.513401
744,134827,Bellerbys College London,Other Independent School,Not applicable,Bounty House,London,SE8 3DE,Open,Mixed,537449,177699,Greenwich West,Greenwich 035B,Greenwich, ,15 - 19, , , ,2,0,-0.0220031,51.4816017
745,134864,Hyde Park School,Other Independent School,Not applicable,24 Elvaston Place,London,SW7 5NL,Open,Mixed,526379,179197,Queen's Gate,Kensington and Chelsea 010E,Kensington and Chelsea, ,11-Feb, , , ,2,1,-0.180796,51.4976006
746,134887,Focus School - Kenley & Carshalton Campus,Other Independent School,Not applicable,Little Woodcote Centre,Carshalton,SM5 4AZ,Open,Mixed,528534,161625,Carshalton South and Clockhouse,Sutton 024C,Sutton, ,18-Jul, , , ,2,1,-0.156134,51.3391991
747,134887,Focus School - Kenley & Carshalton Campus,Other Independent School,Not applicable,Little Woodcote Centre,Carshalton,SM5 4AZ,Open,Mixed,528534,161625,Carshalton South and Clockhouse,Sutton 024C,Sutton, ,18-Jul, , , ,2,0,-0.156134,51.3391991
748,134891,Regent College,Other Independent School,Not applicable,Sai House,Harrow,HA2 7JP,Open,Mixed,513147,187720,West Harrow,Harrow 025C,Harrow, ,14 - 18, , , ,2,0,-0.368591,51.5769997
749,134911,Abingdon House School,Other Independent Special School,Not applicable,Broadley Terrace,London,NW1 6LG,Open,Mixed,527282,182181,Bryanston and Dorset Square,Westminster 008A,Westminster,www.abingdonhouseschool.co.uk,14-May, , , ,2,1,-0.166718,51.5242004
750,134911,Abingdon House School,Other Independent Special School,Not applicable,Broadley Terrace,London,NW1 6LG,Open,Mixed,527282,182181,Bryanston and Dorset Square,Westminster 008A,Westminster,www.abingdonhouseschool.co.uk,14-May, , , ,2,0,-0.166718,51.5242004
751,134932,Kew Green Preparatory School,Other Independent School,Not applicable,Layton House,Richmond,TW9 3AF,Open,Mixed,518820,177707,Kew,Richmond upon Thames 002D,Richmond upon Thames, ,11-Apr, , , ,2,1,-0.290138,51.4859009
752,135072,Ellern Mede School,Other Independent School,Not applicable,Holcombe Hill,London,NW7 4HX,Open,Mixed,522140,193193,Mill Hill,Barnet 017C,Barnet, ,18-Nov, , , ,2,0,-0.236974,51.6242981
753,135090,Oak Heights Independent School,Other Independent School,Not applicable,3 Red Lion Court,Hounslow,TW3 1JS,Open,Mixed,513780,175725,Hounslow Central,Hounslow 018F,Hounslow, ,16-Nov, , , ,2,0,-0.36333,51.469101
754,135091,London Christian Learning Centre,Other Independent School,Not applicable,639-643 Romford Road,London,E12 5AD,Open,Mixed,541914,185448,Manor Park,Newham 004D,Newham, ,18-Mar, , , ,2,1,0.045371,51.5500984
755,135091,London Christian Learning Centre,Other Independent School,Not applicable,639-643 Romford Road,London,E12 5AD,Open,Mixed,541914,185448,Manor Park,Newham 004D,Newham, ,18-Mar, , , ,2,0,0.045371,51.5500984
756,135140,North Bridge House Prep School,Other Independent School,Not applicable,1 Gloucester Avenue,London,NW1 7AB,Open,Mixed,528627,183598,Camden Town with Primrose Hill,Camden 018E,Camden, ,13-Jul, , , ,2,1,-0.146825,51.5365982
757,135140,North Bridge House Prep School,Other Independent School,Not applicable,1 Gloucester Avenue,London,NW1 7AB,Open,Mixed,528627,183598,Camden Town with Primrose Hill,Camden 018E,Camden, ,13-Jul, , , ,2,0,-0.146825,51.5365982
758,135167,"Gloucester House, The Tavistock Children's Day Unit",Other Independent Special School,Not applicable,33 Daleham Gardens,London,NW3 5BU,Open,Mixed,526657,185120,Frognal and Fitzjohns,Camden 008A,Camden,www.gloucesterhouse.net,14-May, , , ,2,1,-0.174666,51.5508003
759,135167,"Gloucester House, The Tavistock Children's Day Unit",Other Independent Special School,Not applicable,33 Daleham Gardens,London,NW3 5BU,Open,Mixed,526657,185120,Frognal and Fitzjohns,Camden 008A,Camden,www.gloucesterhouse.net,14-May, , , ,2,0,-0.174666,51.5508003
760,135198,The Annex School House,Other Independent Special School,Not applicable,Leyden Hatch Lane,Swanley,BR8 7PS,Open,Mixed,550793,169737,Swanley White Oak,Sevenoaks 002E,Sevenoaks,www.theannexschool.co.uk,16-Aug, , , ,2,1,0.166633,51.406601
761,135198,The Annex School House,Other Independent Special School,Not applicable,Leyden Hatch Lane,Swanley,BR8 7PS,Open,Mixed,550793,169737,Swanley White Oak,Sevenoaks 002E,Sevenoaks,www.theannexschool.co.uk,16-Aug, , , ,2,0,0.166633,51.406601
762,135277,L'Ecole de Battersea,Other Independent School,Not applicable,Trott Street,London,SW11 3DS,Open,Mixed,527035,176522,St. Mary's Park,Wandsworth 004C,Wandsworth, ,11-Mar, , , ,2,1,-0.172312,51.4734001
763,135298,Maple Walk School,Other Independent School,Not applicable,62a Crownhill Road,London,NW10 4EB,Open,Mixed,521723,183724,Harlesden,Brent 031A,Brent, ,11-Mar, , , ,2,1,-0.246274,51.539299
764,135334,Khalsa College London,Other Independent School,Not applicable,35 Pinner Road,Harrow,HA1 4ES,Open,Mixed,514828,188204,Headstone South,Harrow 021B,Harrow, ,18-Nov, , , ,2,0,-0.344186,51.5810013
765,135373,Southover Partnership School,Other Independent Special School,Not applicable,288 Kingsbury Road,London,NW9 9HA,Open,Mixed,519722,189008,Queensbury,Brent 003F,Brent, ,19-Aug, , , ,2,1,-0.273314,51.5872002
766,135373,Southover Partnership School,Other Independent Special School,Not applicable,288 Kingsbury Road,London,NW9 9HA,Open,Mixed,519722,189008,Queensbury,Brent 003F,Brent, ,19-Aug, , , ,2,0,-0.273314,51.5872002
767,135379,Christian School of London,Other Independent School,Not applicable,14 Penn Street,London,N1 5DJ,Open,Mixed,532908,183665,De Beauvoir,Hackney 025A,Hackney, ,16-Mar, , , ,2,1,-0.0851115,51.5363007
768,135379,Christian School of London,Other Independent School,Not applicable,14 Penn Street,London,N1 5DJ,Open,Mixed,532908,183665,De Beauvoir,Hackney 025A,Hackney, ,16-Mar, , , ,2,0,-0.0851115,51.5363007
769,135409,London Christian School,Other Independent School,Not applicable,40 Tabard Street,London,SE1 4JU,Open,Mixed,532562,179654,Chaucer,Southwark 002E,Southwark,www.londonchristianschool.com,11-Mar, , , ,2,1,-0.0916045,51.5003014
770,135450,Lilyvale,Other Independent Special School,Not applicable,C/O TulipCare,Woodford Green,IG8 8HD,Open,Girls,541732,190004,Clayhall,Redbridge 036C,Redbridge,www.tulipcare.co.uk,16-Aug, , , ,2,1,0.0445839,51.5910988
771,135450,Lilyvale,Other Independent Special School,Not applicable,C/O TulipCare,Woodford Green,IG8 8HD,Open,Girls,541732,190004,Clayhall,Redbridge 036C,Redbridge,www.tulipcare.co.uk,16-Aug, , , ,2,0,0.0445839,51.5910988
772,135452,Excellence Christian School,Other Independent School,Not applicable,59-61 Vyner Street,London,E2 9DQ,Open,Mixed,535013,183533,Bethnal Green North,Tower Hamlets 002A,Tower Hamlets, ,16-Mar, , , ,2,1,-0.0548304,51.5345993
773,135452,Excellence Christian School,Other Independent School,Not applicable,59-61 Vyner Street,London,E2 9DQ,Open,Mixed,535013,183533,Bethnal Green North,Tower Hamlets 002A,Tower Hamlets, ,16-Mar, , , ,2,0,-0.0548304,51.5345993
774,135472,Winston House Preparatory School,Other Independent School,Not applicable,140 High Road,London,E18 2QS,Open,Mixed,540129,190669,Church End,Redbridge 007E,Redbridge, ,11-Mar, , , ,2,1,0.0217245,51.5974998
775,135493,Insights Independent School,Other Independent Special School,Not applicable,3-5 Alexandria Road,London,W13 0NP,Open,Mixed,516656,180647,Elthorne,Ealing 028A,Ealing, ,21-May, , , ,2,1,-0.320318,51.5126991
776,135493,Insights Independent School,Other Independent Special School,Not applicable,3-5 Alexandria Road,London,W13 0NP,Open,Mixed,516656,180647,Elthorne,Ealing 028A,Ealing, ,21-May, , , ,2,0,-0.320318,51.5126991
777,135577,Kisimul School,Other Independent Special School,Not applicable,Woodstock Lane North,Long Ditton,KT6 5HN,Open,Mixed,517159,165810,Long Ditton,Elmbridge 006D,Elmbridge, ,19-Aug, , , ,2,1,-0.31798,51.3792992
778,135577,Kisimul School,Other Independent Special School,Not applicable,Woodstock Lane North,Long Ditton,KT6 5HN,Open,Mixed,517159,165810,Long Ditton,Elmbridge 006D,Elmbridge, ,19-Aug, , , ,2,0,-0.31798,51.3792992
779,135616,Snowflake School,Other Independent Special School,Not applicable,46a Longridge Road,London,SW5 9SJ,Open,Mixed,525243,178703,Earl's Court,Kensington and Chelsea 015D,Kensington and Chelsea, ,16-May, , , ,2,1,-0.197328,51.4934006
780,135616,Snowflake School,Other Independent Special School,Not applicable,46a Longridge Road,London,SW5 9SJ,Open,Mixed,525243,178703,Earl's Court,Kensington and Chelsea 015D,Kensington and Chelsea, ,16-May, , , ,2,0,-0.197328,51.4934006
781,135670,The Tutorial Foundation,Other Independent Special School,Not applicable,76 Freelands Road,Bromley,BR1 3HY,Open,Mixed,540925,169874,Plaistow and Sundridge,Bromley 008G,Bromley, ,19-May, , , ,2,1,0.0249084,51.4104004
782,135670,The Tutorial Foundation,Other Independent Special School,Not applicable,76 Freelands Road,Bromley,BR1 3HY,Open,Mixed,540925,169874,Plaistow and Sundridge,Bromley 008G,Bromley, ,19-May, , , ,2,0,0.0249084,51.4104004
783,135683,Kestrel House School,Other Independent Special School,Not applicable,104 Crouch Hill,London,N8 9EA,Open,Mixed,530211,188078,Crouch End,Haringey 034B,Haringey, ,16-May, , , ,2,1,-0.122342,51.5764999
784,135683,Kestrel House School,Other Independent Special School,Not applicable,104 Crouch Hill,London,N8 9EA,Open,Mixed,530211,188078,Crouch End,Haringey 034B,Haringey, ,16-May, , , ,2,0,-0.122342,51.5764999
785,135687,Red Balloon Learner Centre - Northwest London,Other Independent School,Not applicable,13 Kenton Road,Harrow,HA1 2BW,Open,Mixed,515734,187869,Greenhill,Harrow 023A,Harrow, ,17-Nov, , , ,2,0,-0.331226,51.5778008
786,135729,Young Dancers Academy,Other Independent School,Not applicable,25 Bulwer Street,London,W12 8AR,Open,Mixed,523337,180004,Shepherd's Bush Green,Hammersmith and Fulham 004A,Hammersmith and Fulham, ,16-Oct, , , ,2,1,-0.224314,51.5055008
787,135729,Young Dancers Academy,Other Independent School,Not applicable,25 Bulwer Street,London,W12 8AR,Open,Mixed,523337,180004,Shepherd's Bush Green,Hammersmith and Fulham 004A,Hammersmith and Fulham, ,16-Oct, , , ,2,0,-0.224314,51.5055008
788,135764,One World Preparatory School,Other Independent School,Not applicable,Church Court,London,W6 0EU,Open,Mixed,522659,179074,Ravenscourt Park,Hammersmith and Fulham 009D,Hammersmith and Fulham,www.oneworldschools.info,11-Mar, , , ,2,1,-0.234401,51.4972992
789,135794,North West London Independent Special School,Other Independent Special School,Not applicable,85 Old Oak Common Lane,London,W3 7DD,Open,Mixed,521766,180547,East Acton,Ealing 024D,Ealing, ,17-Jul, , , ,2,1,-0.246751,51.5107002
790,135794,North West London Independent Special School,Other Independent Special School,Not applicable,85 Old Oak Common Lane,London,W3 7DD,Open,Mixed,521766,180547,East Acton,Ealing 024D,Ealing, ,17-Jul, , , ,2,0,-0.246751,51.5107002
791,135801,Eagle House School Sutton,Other Independent Special School,Not applicable,95 Brighton Road,Sutton,SM2 5SJ,Open,Mixed,526019,163065,Belmont,Sutton 021B,Sutton, ,19-Nov, , , ,2,0,-0.191711,51.3526993
792,135839,Freshsteps,Other Independent School,Not applicable,"Centre 14,Unit 4,Claverings Industrial Estate",Edmonton,N9 0AH,Open,Mixed,535525,193945,Lower Edmonton,Enfield 025G,Enfield,www.freshstepseducationcentre.org.uk,18-Nov, , , ,2,0,-0.0434385,51.6279984
793,135901,Marathon Science School,Other Independent School,Not applicable,1-9 Evelyn Street,London,SE8 5RQ,Open,Boys,536034,178633,Evelyn,Lewisham 001E,Lewisham, ,19-Oct, , , ,2,1,-0.0420082,51.4902992
794,135901,Marathon Science School,Other Independent School,Not applicable,1-9 Evelyn Street,London,SE8 5RQ,Open,Boys,536034,178633,Evelyn,Lewisham 001E,Lewisham, ,19-Oct, , , ,2,0,-0.0420082,51.4902992
795,135988,Assunnah Primary School,Other Independent School,Not applicable,565A High Road,London,N17 6SB,Open,Mixed,533846,190314,Bruce Grove,Haringey 011D,Haringey,www.assunnahschool.co.uk,11-Mar, , , ,2,1,-0.0690657,51.5957985
796,135989,Faraday School,Other Independent School,Not applicable,Old Gate House,London,E14 0FH,Open,Mixed,539499,180747,Blackwall and Cubitt Town,Tower Hamlets 028G,Tower Hamlets,www.faradayschool.co.uk,11-Apr, , , ,2,1,0.0087033,51.5084
797,136004,Ad-Deen Primary School,Other Independent School,Not applicable,Eton Community Centre,Ilford,IG1 2XG,Open,Mixed,544272,185510,Loxford,Redbridge 033A,Redbridge, ,11-Mar, , , ,2,1,0.0793811,51.5500984
798,136014,Edgware Jewish Girls - Beis Chinuch,Other Independent School,Not applicable,296 Hale Lane,Edgware,HA8 8NP,Open,Girls,519518,192255,Edgware,Barnet 018A,Barnet, ,10-Mar, , , ,2,1,-0.275152,51.6165009
799,136015,Bnos Zion of Bobov,Other Independent School,Not applicable,65-67 Ravensdale Road,London,N16 6TJ,Open,Girls,533941,188042,New River,Hackney 001C,Hackney, ,13-Mar, , , ,2,1,-0.0685611,51.5752983
800,136015,Bnos Zion of Bobov,Other Independent School,Not applicable,65-67 Ravensdale Road,London,N16 6TJ,Open,Girls,533941,188042,New River,Hackney 001C,Hackney, ,13-Mar, , , ,2,0,-0.0685611,51.5752983
801,136046,Lady Nafisa Independent Secondary School for Girls,Other Independent School,Not applicable,Banklabs House,Hounslow,TW3 2AD,Open,Girls,513770,175111,Hounslow Heath,Hounslow 018D,Hounslow, ,16-Nov, , , ,2,0,-0.363671,51.4636002
802,136052,East London Independent Special School,Other Independent Special School,Not applicable,"Unit 7, Ibex House",London,E15 1HB,Open,Mixed,539263,185011,Forest Gate North,Newham 006B,Newham, ,18-Jul, , , ,2,1,0.0069892,51.5467987
803,136052,East London Independent Special School,Other Independent Special School,Not applicable,"Unit 7, Ibex House",London,E15 1HB,Open,Mixed,539263,185011,Forest Gate North,Newham 006B,Newham, ,18-Jul, , , ,2,0,0.0069892,51.5467987
804,136057,Chepstow House School,Other Independent School,Not applicable,108a Lancaster Road,London,W11 1QS,Open,Mixed,524423,181371,Colville,Kensington and Chelsea 004C,Kensington and Chelsea, ,11-Feb, , , ,2,1,-0.208193,51.517601
805,136084,Ayasofia Primary School,Other Independent School,Not applicable,130 Cavell Street,London,E1 2JA,Open,Mixed,534898,181701,Whitechapel,Tower Hamlets 017A,Tower Hamlets, ,11-May, , , ,2,1,-0.0571884,51.5181007
806,136092,Wize Up,Other Independent Special School,Not applicable,579 Westhorne Avenue,London,SE9 6DN,Open,Mixed,541842,174980,Eltham West,Greenwich 025A,Greenwich, ,16-Nov, , , ,2,0,0.0401277,51.4560013
807,136100,StreetVibes Media Academy,Other Independent School,Not applicable,6 Eltham High Street,London,SE9 1DA,Open,Mixed,542505,174452,Eltham South,Greenwich 028C,Greenwich,www.streetvibes.org,13 - 19, , , ,2,0,0.0494512,51.4510994
808,136110,The Priory Lodge School,Other Independent Special School,Not applicable,Priory Lane,London,SW15 5JJ,Open,Mixed,521595,175173,Roehampton and Putney Heath,Wandsworth 013D,Wandsworth, ,19-May, , , ,2,1,-0.251063,51.4625015
809,136110,The Priory Lodge School,Other Independent Special School,Not applicable,Priory Lane,London,SW15 5JJ,Open,Mixed,521595,175173,Roehampton and Putney Heath,Wandsworth 013D,Wandsworth, ,19-May, , , ,2,0,-0.251063,51.4625015
810,136129,Ebrahim Academy,Other Independent School,Not applicable,77 Greenfield Road,London,E1 1EJ,Open,Boys,534350,181496,Whitechapel,Tower Hamlets 021D,Tower Hamlets,www.ebrahimacademy.co.uk,16-Nov, , , ,2,0,-0.0651596,51.5163994
811,136151,Frederick Hugh House,Other Independent Special School,Not applicable,48 Old Church Street,London,SW3 5BY,Open,Mixed,527032,177715,Cremorne,Kensington and Chelsea 019A,Kensington and Chelsea,www.frederickhughhouse.com,16-May, , , ,2,1,-0.171927,51.4841003
812,136151,Frederick Hugh House,Other Independent Special School,Not applicable,48 Old Church Street,London,SW3 5BY,Open,Mixed,527032,177715,Cremorne,Kensington and Chelsea 019A,Kensington and Chelsea,www.frederickhughhouse.com,16-May, , , ,2,0,-0.171927,51.4841003
813,136226,Cumnor House School,Other Independent School,Not applicable,1 Woodcote Lane, ,CR8 3HB,Open,Girls,529701,161600,Purley,Croydon 038E,Croydon, ,11-Apr, , , ,2,1,-0.139399,51.3386993
814,136228,TLC The Learning Centre,Other Independent Special School,Not applicable,59 Queensway,Orpington,BR5 1EB,Open,Girls,544470,167318,Petts Wood and Knoll,Bromley 025D,Bromley, ,16-Nov, , , ,2,0,0.0748055,51.3865013
815,136231,Bnos Beis Yaakov Primary School,Other Independent School,Not applicable,Kingsbury Synagogue,London,NW9 8XR,Open,Girls,520396,188514,Fryent,Brent 005A,Brent, ,9-Mar, , , ,2,1,-0.26376,51.5825996
816,136244,Stradbroke,Other Independent Special School,Not applicable,C/O Tulip Care,Woodford Green,IG8 8HD,Open,Girls,541691,189979,Clayhall,Redbridge 036C,Redbridge, ,16-Aug, , , ,2,1,0.0439824,51.5909004
817,136244,Stradbroke,Other Independent Special School,Not applicable,C/O Tulip Care,Woodford Green,IG8 8HD,Open,Girls,541691,189979,Clayhall,Redbridge 036C,Redbridge, ,16-Aug, , , ,2,0,0.0439824,51.5909004
818,136250,The Pier Head Preparatory Montessori School,Other Independent School,Not applicable,3 Shadwell Pierhead,Wapping,E1W 3TD,Open,Mixed,535460,180620,Shadwell,Tower Hamlets 025D,Tower Hamlets, ,7-Feb, , , ,2,1,-0.0495086,51.5083008
819,136256,Oleander Preparatory School,Other Independent School,Not applicable,235 Brixton Hill,Lambeth,SW2 1NR,Open,Mixed,530479,173576,Brixton Hill,Lambeth 021E,Lambeth, ,11-Mar, , , ,2,1,-0.123839,51.4462013
820,136263,The Holmewood School London,Other Independent Special School,Not applicable,88 Woodside Park Road,London,N12 8SH,Open,Mixed,525774,192586,Totteridge,Barnet 012B,Barnet,www.thsl.org.uk,19-Jul, , , ,2,1,-0.184722,51.6180992
821,136263,The Holmewood School London,Other Independent Special School,Not applicable,88 Woodside Park Road,London,N12 8SH,Open,Mixed,525774,192586,Totteridge,Barnet 012B,Barnet,www.thsl.org.uk,19-Jul, , , ,2,0,-0.184722,51.6180992
822,136265,Baston House School,Other Independent Special School,Not applicable,Baston Road,Bromley,BR2 7AB,Open,Mixed,540912,165589,Hayes and Coney Hall,Bromley 034D,Bromley, ,19-May, , , ,2,1,0.0230223,51.3718987
823,136265,Baston House School,Other Independent Special School,Not applicable,Baston Road,Bromley,BR2 7AB,Open,Mixed,540912,165589,Hayes and Coney Hall,Bromley 034D,Bromley, ,19-May, , , ,2,0,0.0230223,51.3718987
824,136504,TLG West London,Other Independent School,Not applicable,St Pauls' Centre,London,W6 9JJ,Open,Mixed,522847,178488,Hammersmith Broadway,Hammersmith and Fulham 013B,Hammersmith and Fulham, ,16-Nov, , , ,2,0,-0.231898,51.4920006
825,136678,RISE Education,Other Independent School,Not applicable,Units 1-3,Mitcham,CR4 3ED,Open,Mixed,527554,169071,Cricket Green,Merton 018C,Merton, ,13 - 16, , , ,2,0,-0.167526,51.4062996
826,136740,PPP Community School,Other Independent Special School,Not applicable,191 Freston Road,London,W10 6TH,Open,Mixed,523608,180883,Notting Barns,Kensington and Chelsea 003B,Kensington and Chelsea,www.theppp.org.uk,13 - 17, , , ,2,0,-0.220104,51.513401
827,136746,Lady Aisha Academy,Other Independent School,Not applicable,Victoria Road,Barking,IG11 8PY,Open,Girls,544159,184860,Abbey,Barking and Dagenham 015D,Barking and Dagenham, ,16-Nov, , , ,2,0,0.0774864,51.5442009
828,136747,La Scuola Italiana A Londra,Other Independent School,Not applicable,154 Holland Park Avenue,London,W11 4UH,Open,Mixed,524256,180088,Norland,Kensington and Chelsea 007C,Kensington and Chelsea, ,11-Mar, , , ,2,1,-0.21105,51.5060997
829,136817,Beis Yaakov Girls School,Other Independent School,Not applicable,Avigdor Mews,London,N16 0QJ,Open,Girls,532836,186831,Lordship,Hackney 008C,Hackney, ,8-Mar, , , ,2,1,-0.0849546,51.5647011
